Gene,Gene_ID,Gene_OMIM,Disease,Disease_OMIM,OMIM_PhenoClass,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,PhenotypeClass,GMT_Confirmed,RevGMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
KRT18,3875,OMIM:148070,"cirrhosis, cryptogenic",OMIM:215600,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
CFHR3,10878,OMIM:605336,"{macular degeneration, age-related, reduced risk of}",OMIM:603075,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
KRT8,3856,OMIM:148060,"cirrhosis, cryptogenic",OMIM:215600,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
KRT18,3875,OMIM:148070,"{cirrhosis, noncryptogenic, susceptibility to}",OMIM:215600,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
KRT8,3856,OMIM:148060,"{cirrhosis, noncryptogenic, susceptibility to}",OMIM:215600,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
CFHR1,3078,OMIM:134371,"{hemolytic uremic syndrome, atypical, susceptibility to}",OMIM:235400,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
CFHR3,10878,OMIM:605336,"{hemolytic uremic syndrome, atypical, susceptibility to}",OMIM:235400,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
CFHR1,3078,OMIM:134371,"{macular degeneration, age-related, reduced risk of}",OMIM:603075,3,2,2,11.5922,11.1526,22.7448,1.0,1.0,1.0,1.0,1.0,1.0,99.95,1,1
SLC6A20,54716,OMIM:605616,hyperglycinuria,OMIM:138500,3,2,3,11.5922,10.5676,22.1599,0.908249,1.0,1.0,1.0,1.0,0.915322,99.83,1,1
SLC36A2,153201,OMIM:608331,"iminoglycinuria, digenic",OMIM:242600,3,2,3,11.5922,10.5676,22.1599,0.908249,1.0,1.0,1.0,1.0,0.915322,99.83,1,1
SLC6A20,54716,OMIM:605616,"iminoglycinuria, digenic",OMIM:242600,3,2,3,11.5922,10.5676,22.1599,0.908249,1.0,1.0,1.0,1.0,0.915322,99.83,1,1
COL6A1,1291,OMIM:120220,bethlem myopathy,OMIM:158810,3,2,3,11.5922,10.5676,22.1599,0.908249,1.0,1.0,1.0,1.0,0.915322,99.83,1,1
COL6A3,1293,OMIM:120250,bethlem myopathy,OMIM:158810,3,2,3,11.5922,10.5676,22.1599,0.908249,1.0,1.0,1.0,1.0,0.915322,99.83,1,1
COL6A1,1291,OMIM:120220,ullrich congenital muscular dystrophy,OMIM:254090,3,2,3,11.5922,10.5676,22.1599,0.908249,1.0,1.0,1.0,1.0,0.915322,99.83,1,1
