Gene,Gene_ID,Disease,Disease_ID,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,GMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
ACY1,95,ABHD14A-ACY1-related disorder,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.816497,0.0,1.0,100.0,1,1
ABHD14A-ACY1,100526760,ABHD14A-ACY1-related disorder,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.816497,0.0,1.0,100.0,1,1
NCF4,4689,Granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
NCF1,653361,Chronic granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
NCF4,4689,Chronic granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
NCF1,653361,Granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
AQP2,359,Nephrogenic diabetes insipidus,OMIM_125800,2,2,11.4815,11.1325,22.614,0.816497,1.0,0.0,0.988103,99.96,1,1
AQP2,359,Diabetes insipidus,MedGen_8349,2,2,11.4815,11.1325,22.614,0.816497,1.0,0.0,0.988103,99.96,1,1
CD40,958,Hyperimmunoglobulin M syndrome,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.707107,0.0,0.978724,99.95,1,1
AICDA,57379,Hyperimmunoglobulin M syndrome,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.707107,0.0,0.978724,99.95,1,1
HOXA2,3199,Bosley-Salih-Alorainy syndrome,OMIM_612290,3,2,10.8966,11.1325,22.0291,0.866025,1.0,0.0,0.964641,99.94,1,1
HOXA2,3199,Human HOXA1 syndromes,OMIM_612290,3,2,10.8966,11.1325,22.0291,0.866025,1.0,0.0,0.964641,99.94,1,1
HOXA2,3199,Bilateral microtia-deafness-cleft palate syndrome,OMIM_612290,3,2,10.8966,11.1325,22.0291,0.866025,1.0,0.0,0.964641,99.94,1,1
FTL,2512,Neuroferritinopathy,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,Sporadic abdominal aortic aneurysm,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,Glycogen storage disease due to muscle and heart glycogen synthase deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,Hereditary hyperferritinemia,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Neuroferritinopathy,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,L-ferritin deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,L-ferritin deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Hereditary hyperferritinemia,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Sporadic abdominal aortic aneurysm,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Glycogen storage disease due to muscle and heart glycogen synthase deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
LACC1,144811,Juvenile arthritis due to defect in LA,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
CCDC122,160857,Juvenile arthritis due to defect in LA,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
PIGV,55650,Hyperphosphatasia-intellectual disability syndrome,OMIM_614749,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
PIGO,84720,Hyperphosphatasia-intellectual disability syndrome,OMIM_614749,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
KRT81,3887,Monilethrix-,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.816497,0.816497,0.0,0.952412,99.85,1,1
SLC36A2,153201,Hyperglycinuria,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.761802,1.0,0.0,0.948522,99.84,1,1
SLC36A2,153201,Iminoglycinuria,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.761802,1.0,0.0,0.948522,99.84,1,1
POLR3C,10623,Decreased total lymphocyte count,MedGen_C0024312,2,6,11.4815,9.5475,21.0291,0.760419,0.866025,1.0,0.943523,99.83,1,1
CCNQ,92002,Decreased total lymphocyte count,MedGen_C0024312,2,6,11.4815,9.5475,21.0291,0.760419,0.866025,1.0,0.943523,99.83,1,1
ZC3H3,23144,Decreased total lymphocyte count,MedGen_C0024312,2,6,11.4815,9.5475,21.0291,0.760419,0.866025,1.0,0.943523,99.83,1,1
HMGCS2,3158,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,OMIM_605911,2,2,11.4815,11.1325,22.614,0.632456,1.0,0.0,0.940376,99.81,1,1
