disease_id,drug_id,gene_id,gene_name,disease_name,drug_name
H01213,D00163,9971,(RefSeq) bile acid receptor isoform 3,Gallbladder disease,Chenodiol (USAN)
H00151,D00163,9971,(RefSeq) bile acid receptor isoform 3,Cerebrotendinous xanthomatosis,Chenodiol (USAN)
H00787,D00164,5914,(RefSeq) retinoic acid receptor alpha isoform 1,Congenital stationary night blindness,Retinol palmitate (JP18)
H00787,D00164,5915,(RefSeq) retinoic acid receptor beta isoform 3,Congenital stationary night blindness,Retinol palmitate (JP18)
H00787,D00164,5916,(RefSeq) retinoic acid receptor gamma isoform 1,Congenital stationary night blindness,Retinol palmitate (JP18)
H00630,D00169,5742,(RefSeq) prostaglandin G/H synthase 1 isoform 1 precursor,Rheumatoid arthritis,Meclofenamate sodium (USP)
H00630,D00169,5743,(RefSeq) prostaglandin G/H synthase 2 precursor,Rheumatoid arthritis,Meclofenamate sodium (USP)
H01674,D00169,5742,(RefSeq) prostaglandin G/H synthase 1 isoform 1 precursor,Ankylosing spondylitis,Meclofenamate sodium (USP)
H01674,D00169,5743,(RefSeq) prostaglandin G/H synthase 2 precursor,Ankylosing spondylitis,Meclofenamate sodium (USP)
H01813,D01253,2554,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2555,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-2 isoform a precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2556,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-3 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2557,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-4 isoform 1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2558,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-5 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2559,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-6 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2560,(RefSeq) gamma-aminobutyric acid receptor subunit beta-1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2561,(RefSeq) gamma-aminobutyric acid receptor subunit beta-2 isoform 1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2562,(RefSeq) gamma-aminobutyric acid receptor subunit beta-3 isoform 1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2563,(RefSeq) gamma-aminobutyric acid receptor subunit delta precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2564,(RefSeq) gamma-aminobutyric acid receptor subunit epsilon precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2565,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2566,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-2 isoform 1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2567,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-3 isoform 1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,2568,(RefSeq) gamma-aminobutyric acid receptor subunit pi isoform 1 precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01813,D01253,55879,(RefSeq) gamma-aminobutyric acid receptor subunit theta precursor,Lennox-Gastaut syndrome,Clobazam (JAN/USAN/INN)
H01609,D01744,2554,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2555,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-2 isoform a precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2556,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-3 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2557,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-4 isoform 1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2558,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-5 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2559,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-6 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2560,(RefSeq) gamma-aminobutyric acid receptor subunit beta-1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2561,(RefSeq) gamma-aminobutyric acid receptor subunit beta-2 isoform 1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2562,(RefSeq) gamma-aminobutyric acid receptor subunit beta-3 isoform 1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2563,(RefSeq) gamma-aminobutyric acid receptor subunit delta precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2564,(RefSeq) gamma-aminobutyric acid receptor subunit epsilon precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2565,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2566,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-2 isoform 1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2567,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-3 isoform 1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,2568,(RefSeq) gamma-aminobutyric acid receptor subunit pi isoform 1 precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01609,D01744,55879,(RefSeq) gamma-aminobutyric acid receptor subunit theta precursor,Insomnia,Brotizolam (JP18/USAN/INN)
H01593,D00942,2224,(RefSeq) farnesyl pyrophosphate synthase isoform a,Osteoporosis,Risedronate sodium (USP)
H01709,D00942,2224,(RefSeq) farnesyl pyrophosphate synthase isoform a,Glucocorticoid-induced osteonecrosis,Risedronate sodium (USP)
H00437,D00942,2224,(RefSeq) farnesyl pyrophosphate synthase isoform a,Paget disease of bone,Risedronate sodium (USP)
H00031,D01161,2099,(RefSeq) estrogen receptor isoform 1,Breast cancer,Fulvestrant (JAN/USP/INN)
H00031,D01161,2100,(RefSeq) estrogen receptor beta isoform 1,Breast cancer,Fulvestrant (JAN/USP/INN)
H01609,D00531,2554,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2555,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-2 isoform a precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2556,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-3 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2557,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-4 isoform 1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2558,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-5 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2559,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-6 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2560,(RefSeq) gamma-aminobutyric acid receptor subunit beta-1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2561,(RefSeq) gamma-aminobutyric acid receptor subunit beta-2 isoform 1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2562,(RefSeq) gamma-aminobutyric acid receptor subunit beta-3 isoform 1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2563,(RefSeq) gamma-aminobutyric acid receptor subunit delta precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2564,(RefSeq) gamma-aminobutyric acid receptor subunit epsilon precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2565,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2566,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-2 isoform 1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2567,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-3 isoform 1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,2568,(RefSeq) gamma-aminobutyric acid receptor subunit pi isoform 1 precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01609,D00531,55879,(RefSeq) gamma-aminobutyric acid receptor subunit theta precursor,Insomnia,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2554,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2555,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-2 isoform a precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2556,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-3 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2557,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-4 isoform 1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2558,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-5 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2559,(RefSeq) gamma-aminobutyric acid receptor subunit alpha-6 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2560,(RefSeq) gamma-aminobutyric acid receptor subunit beta-1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2561,(RefSeq) gamma-aminobutyric acid receptor subunit beta-2 isoform 1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2562,(RefSeq) gamma-aminobutyric acid receptor subunit beta-3 isoform 1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2563,(RefSeq) gamma-aminobutyric acid receptor subunit delta precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2564,(RefSeq) gamma-aminobutyric acid receptor subunit epsilon precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2565,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2566,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-2 isoform 1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2567,(RefSeq) gamma-aminobutyric acid receptor subunit gamma-3 isoform 1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
H01460,D00531,2568,(RefSeq) gamma-aminobutyric acid receptor subunit pi isoform 1 precursor,West syndrome,Nitrazepam (JP18/USAN/INN)
