drug_index,disease_index
14016,33654
14016,35988
14017,33654
14017,35988
14019,30813
14019,38513
14019,39111
14019,83772
14019,83773
14019,29854
14019,33534
14019,31723
14019,32815
14019,27452
14019,30990
14019,39208
14019,83785
14019,83786
14019,32746
14019,33410
14019,29993
14019,83794
14019,32967
14019,83795
14019,35650
14019,32531
14019,36458
14019,33294
14019,38515
14019,30602
14019,27648
14019,27878
14019,32584
14019,84030
14019,32325
14020,39208
14020,84030
14021,39208
14021,84030
14023,30813
14023,38513
14023,39111
14023,83772
14023,83773
14023,29854
14023,33534
14023,31723
14023,27452
14023,30990
14023,39208
14023,83785
14023,83786
14023,32746
14023,33410
14023,29993
14023,83794
14023,32967
14023,83795
14023,35650
14023,32531
14023,36458
14023,33294
14023,38515
14023,30602
14023,27648
14023,27878
14023,32584
14023,33654
14023,84030
14023,32325
14023,84096
14023,84213
14024,30813
14024,38513
14024,39111
14024,83772
14024,83773
14024,29854
14024,33534
14024,31723
14024,32815
14024,27452
14024,30990
14024,39208
14024,83785
14024,83786
14024,32746
14024,33410
14024,29993
14024,83794
14024,32967
14024,83795
14024,35650
14024,32531
14024,36458
14024,33294
14024,38515
14024,30602
14024,27648
14024,27878
14024,32584
14024,32325
14024,35884
14024,36425
14024,84158
14024,84160
14026,39208
14026,84030
14028,30813
14028,38513
14028,39111
14028,83772
14028,83773
14028,29854
14028,33534
14028,31723
14028,32815
14028,27452
14028,30990
14028,39208
14028,83785
14028,83786
14028,32746
14028,33410
14028,29993
14028,83794
14028,32967
14028,83795
14028,35650
14028,32531
14028,36458
14028,38515
14028,30602
14028,27648
14028,27878
14028,32584
14028,33654
14028,84030
14028,35988
14029,39208
14029,84030
14030,30813
14030,38513
14030,39111
14030,83772
14030,83773
14030,29854
14030,33534
14030,31723
14030,27452
14030,30990
14030,39208
14030,83785
14030,83786
14030,32746
14030,33410
14030,29993
14030,83794
14030,32967
14030,83795
14030,35650
14030,32531
14030,36458
14030,33294
14030,38515
14030,30602
14030,27648
