node_id,orphanet_id
13924_12592_14672_13460_12591_12536_30861_8146_8148_32846_13459_44329_14544_9805_49223_9804_14086_8147_13515_14029_12581_19019,666
11396_7422,494
9260_9261_9262_18149,354
8878,1842
14083_13288_12987_13287_13289_20729_14840_13290_11096_16462_15977,183669
9699,163696
14986_14987_10351_10953_13565_9213_12565_13248_12187_13499_14108_44325_54748_11325_9214_14985_9215_11584_12186_13566_14638,319462
12035,52054
10023,911
7099,85450
24541_13818,84064
9614_9613_17214_17685,28
11870,281139
11063,1808
7315,184
12345,263534
7447,493342
32914_12748_14030_14215_14193_13854_14123_12978_12088_32664_13174_9484_32757_32874_32637_14192_13979_12906_14465_13434_14909_32872_13525_14202_14750_14910_54843_13940_14211_14216_32924_12918_14378_14203_12979_12085_12571_14657_13435_11718_33204_16575_12087_12844,244
13843,314376
12203,424
11732,85169
10214_10215_10216_10210_10211_12531_10212_10213_19600,910
7207,1262
14848,488642
9577,2479
14555_54852_24548_14923_11937_19347,817
7794_9239_9223_13912_13961_7844_13946_14105_13910_14102_12880_14461_9482_30010_14107_13914_10635_14106_13911_12528_13926_13913_12988_14103_13915,52901
14502,319563
18959,612
7793,429
11108,3206
10803,79106
11275_8703_12274,2098
9806_12217_17195,2771
10547,1175
9520,20
12063,52056
11814_14087_15799,178355
12945_11691_12077_8780_11196_27694_11951_10459_11223_11632_14223_12790_12753_13715_7103_13264_13891_14181_4976_5145_11952,803
13141_15372,140957
9705,156
8045,2590
7366_42499_11593_10021_11904_17615_7365_11990_14903_15637_11140_2016_12965,140927
9681_14654_355,75840
11136,220436
9155,1897
14542_18940_12518_14587_14052_14983_14582_11600_14468_14586_14585_14588_14543_14590_14583_14581_14745_14939_9690_11088_44299_13620_9689_14584_11281_12157_14578_13883,590
44721,504523
9740,2673
12662_29141_10169_13935_11186_13788_10984_10168_11748_32841_10170_14001_10171_11195_11558_19501_16484_16485_12968,886
14338,477661
7841,1509
7039_7245_18975_21061_8075,93921
9816_11877_12679_14040_9817_12676_20848_8156_9818_12859_9815_19026_20645,2785
11335_7738,93360
14227,324561
13890,319160
8521,1412
10619_10358_20720,89936
30105_18116,570422
10121,3320
9151,3253
9294_13291_10598_13091_10362_9868_9295_9293_9290_9291_2413_2412,79201
14831,300382
11539_12237_15736_15739_15738_8070_12538_12240_14138_14326_14513_12239_9725_15737_18958,607
9288_9287,364
33005_33008_33009_33007_32693_32691_32692_9627,2065
8322,750
11456_13444_9728_14374_13916_14537_11752_14997_13718_11190_14158_13917_12680_13442_13302_19005,655
10674_9659_9660_9661_11093_9662_16316_16315_18937_18938_1586_19249_19302_17171_17172,79213
8211,2976
7204_14573_16085,2050
