node_index,node_id,node_name
14012,DB09130,Copper
14013,DB09140,Oxygen
14014,DB00180,Flunisolide
14015,DB00240,Alclometasone
14016,DB00253,Medrysone
14017,DB00324,Fluorometholone
14018,DB00394,Beclomethasone dipropionate
14019,DB00443,Betamethasone
14020,DB00588,Fluticasone propionate
14021,DB00591,Fluocinolone acetonide
14022,DB00596,Ulobetasol
14023,DB00620,Triamcinolone
14024,DB00635,Prednisone
14025,DB00648,Mitotane
14026,DB00663,Flumethasone
14027,DB00687,Fludrocortisone
14028,DB00741,Hydrocortisone
14029,DB00846,Flurandrenolide
14030,DB00860,Prednisolone
14031,DB00896,Rimexolone
14032,DB01013,Clobetasol propionate
14033,DB01047,Fluocinonide
14034,DB01222,Budesonide
14035,DB01384,Paramethasone
14036,DB01410,Ciclesonide
14037,DB05688,CRx-119
14038,DB08906,Fluticasone furoate
14039,DB09124,Medrogestone
14040,DB13867,Fluticasone
14041,DB14538,Hydrocortisone aceponate
14042,DB14539,Hydrocortisone acetate
14043,DB14540,Hydrocortisone butyrate
14044,DB14541,Hydrocortisone cypionate
14045,DB14542,Hydrocortisone phosphate
14046,DB14543,Hydrocortisone probutate
14047,DB14544,Hydrocortisone valerate
14048,DB14631,Prednisolone phosphate
14049,DB14669,Betamethasone phosphate
14050,DB15566,Prednisolone acetate
14051,DB09479,Rubidium Rb-82
14052,DB00162,Vitamin A
14053,DB06755,Beta carotene
14054,DB00163,Vitamin E
14055,DB03917,N-Ethylretinamide
14056,DB05076,Fenretinide
14057,DB06985,2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic acid
14058,DB00255,Diethylstilbestrol
14059,DB00279,Liothyronine
14060,DB00451,Levothyroxine
14061,DB00586,Diclofenac
14062,DB00861,Diflunisal
14063,DB01093,Dimethyl sulfoxide
14064,DB01583,Liotrix
14065,DB01645,Genistein
14066,DB01751,Tetraiodothyroacetic acid
14067,DB01838,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone"
14068,DB02179,O-Trifluoromethylphenyl Anthranilic Acid
14069,DB02266,Flufenamic acid
14070,DB02417,"2,4,6-Tribromophenol"
14071,DB02698,"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid"
14072,DB02709,Resveratrol
14073,DB03167,Pentabromophenol
14074,DB03239,"3',5'-Dinitro-N-Acetyl-L-Thyronine"
14075,DB03346,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol"
14076,DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid"
14077,DB04474,8-anilinonaphthalene-1-sulfonic acid
14078,DB04674,"2-HYDROXY-3,5-DIIODOBENZOIC ACID"
14079,DB04756,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid"
14080,DB05235,NRP409
14081,DB05352,Fx-1006A
14082,DB06885,3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid
14083,DB06907,"2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID"
14084,DB06935,"2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID"
14085,DB07047,"2',4'-DICHLORO-4-HYDROXY-1,1'-BIPHENYL-3-CARBOXYLIC ACID"
14086,DB07176,1-Naphthylamine-5-sulfonic acid
