drugbank_id,name,drug_class,atc_codes,moa,description,targets,safety_flags,pediatric_safe,pregnancy_category,routes,top_side_effects
DB09130,Copper,,[],,,[],[],True,,[],[]
DB09140,Oxygen,,[],,,[],[],True,,[],[]
DB00180,Flunisolide,,[],,,[],[],True,,[],[]
DB00240,Alclometasone,,[],,,[],[],True,,[],[]
DB00253,Medrysone,,[],,,[],[],True,,[],[]
DB00324,Fluorometholone,,[],,,[],[],True,,[],[]
DB00394,Beclomethasone dipropionate,,[],,,[],[],True,,[],[]
DB00443,Betamethasone,,[],,,[],[],True,,[],[]
DB00588,Fluticasone propionate,,[],,,[],[],True,,[],[]
DB00591,Fluocinolone acetonide,,[],,,[],[],True,,[],[]
DB00596,Ulobetasol,,[],,,[],[],True,,[],[]
DB00620,Triamcinolone,,[],,,[],[],True,,[],[]
DB00635,Prednisone,,[],,,[],[],True,,[],[]
DB00648,Mitotane,,[],,,[],[],True,,[],[]
DB00663,Flumethasone,,[],,,[],[],True,,[],[]
DB00687,Fludrocortisone,,[],,,[],[],True,,[],[]
DB00741,Hydrocortisone,,[],,,[],[],True,,[],[]
DB00846,Flurandrenolide,,[],,,[],[],True,,[],[]
DB00860,Prednisolone,,[],,,[],[],True,,[],[]
DB00896,Rimexolone,,[],,,[],[],True,,[],[]
DB01013,Clobetasol propionate,,[],,,[],[],True,,[],[]
DB01047,Fluocinonide,,[],,,[],[],True,,[],[]
DB01222,Budesonide,,[],,,[],[],True,,[],[]
DB01384,Paramethasone,,[],,,[],[],True,,[],[]
DB01410,Ciclesonide,,[],,,[],[],True,,[],[]
DB05688,CRx-119,,[],,,[],[],True,,[],[]
DB08906,Fluticasone furoate,,[],,,[],[],True,,[],[]
DB09124,Medrogestone,,[],,,[],[],True,,[],[]
DB13867,Fluticasone,,[],,,[],[],True,,[],[]
DB14538,Hydrocortisone aceponate,,[],,,[],[],True,,[],[]
DB14539,Hydrocortisone acetate,,[],,,[],[],True,,[],[]
DB14540,Hydrocortisone butyrate,,[],,,[],[],True,,[],[]
DB14541,Hydrocortisone cypionate,,[],,,[],[],True,,[],[]
DB14542,Hydrocortisone phosphate,,[],,,[],[],True,,[],[]
DB14543,Hydrocortisone probutate,,[],,,[],[],True,,[],[]
DB14544,Hydrocortisone valerate,,[],,,[],[],True,,[],[]
DB14631,Prednisolone phosphate,,[],,,[],[],True,,[],[]
DB14669,Betamethasone phosphate,,[],,,[],[],True,,[],[]
DB15566,Prednisolone acetate,,[],,,[],[],True,,[],[]
DB09479,Rubidium Rb-82,,[],,,[],[],True,,[],[]
DB00162,Vitamin A,,[],,,[],[],True,,[],[]
DB06755,Beta carotene,,[],,,[],[],True,,[],[]
DB00163,Vitamin E,,[],,,[],[],True,,[],[]
DB03917,N-Ethylretinamide,,[],,,[],[],True,,[],[]
DB05076,Fenretinide,,[],,,[],[],True,,[],[]
DB06985,2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic acid,,[],,,[],[],True,,[],[]
DB00255,Diethylstilbestrol,,[],,,[],[],True,,[],[]
DB00279,Liothyronine,,[],,,[],[],True,,[],[]
DB00451,Levothyroxine,,[],,,[],[],True,,[],[]
DB00586,Diclofenac,,[],,,[],[],True,,[],[]
DB00861,Diflunisal,,[],,,[],[],True,,[],[]
DB01093,Dimethyl sulfoxide,,[],,,[],[],True,,[],[]
DB01583,Liotrix,,[],,,[],[],True,,[],[]
DB01645,Genistein,,[],,,[],[],True,,[],[]
DB01751,Tetraiodothyroacetic acid,,[],,,[],[],True,,[],[]
DB01838,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",,[],,,[],[],True,,[],[]
DB02179,O-Trifluoromethylphenyl Anthranilic Acid,,[],,,[],[],True,,[],[]
DB02266,Flufenamic acid,,[],,,[],[],True,,[],[]
DB02417,"2,4,6-Tribromophenol",,[],,,[],[],True,,[],[]
DB02698,"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid",,[],,,[],[],True,,[],[]
DB02709,Resveratrol,,[],,,[],[],True,,[],[]
DB03167,Pentabromophenol,,[],,,[],[],True,,[],[]
DB03239,"3',5'-Dinitro-N-Acetyl-L-Thyronine",,[],,,[],[],True,,[],[]
DB03346,"3,3',5,5'-tetrachlorobiphenyl-4,4'-diol",,[],,,[],[],True,,[],[]
DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid",,[],,,[],[],True,,[],[]
DB04474,8-anilinonaphthalene-1-sulfonic acid,,[],,,[],[],True,,[],[]
DB04674,"2-HYDROXY-3,5-DIIODOBENZOIC ACID",,[],,,[],[],True,,[],[]
DB04756,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid",,[],,,[],[],True,,[],[]
DB05235,NRP409,,[],,,[],[],True,,[],[]
DB05352,Fx-1006A,,[],,,[],[],True,,[],[]
DB06885,3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid,,[],,,[],[],True,,[],[]
DB06907,"2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID",,[],,,[],[],True,,[],[]
DB06935,"2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",,[],,,[],[],True,,[],[]
DB07047,"2',4'-DICHLORO-4-HYDROXY-1,1'-BIPHENYL-3-CARBOXYLIC ACID",,[],,,[],[],True,,[],[]
DB07176,1-Naphthylamine-5-sulfonic acid,,[],,,[],[],True,,[],[]
DB07201,(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid,,[],,,[],[],True,,[],[]
DB07240,3-[(9H-fluoren-9-ylideneamino)oxy]propanoic acid,,[],,,[],[],True,,[],[]
DB07282,3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid,,[],,,[],[],True,,[],[]
DB07693,"N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide",,[],,,[],[],True,,[],[]
DB07694,"2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide",,[],,,[],[],True,,[],[]
DB07695,"N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide",,[],,,[],[],True,,[],[]
DB07753,"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",,[],,,[],[],True,,[],[]
DB07775,"3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE",,[],,,[],[],True,,[],[]
DB07962,"METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE",,[],,,[],[],True,,[],[]
DB07963,"N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINE",,[],,,[],[],True,,[],[]
DB08100,"2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol",,[],,,[],[],True,,[],[]
DB08101,"2,6-dibromo-4-[(E)-2-phenylethenyl]phenol",,[],,,[],[],True,,[],[]
DB08102,"3,5-dibromobiphenyl-4-ol",,[],,,[],[],True,,[],[]
DB08103,"2,6-dibromo-4-phenoxyphenol",,[],,,[],[],True,,[],[]
DB08104,"N-(3,5-dibromo-4-hydroxyphenyl)benzamide",,[],,,[],[],True,,[],[]
DB08205,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL",,[],,,[],[],True,,[],[]
DB08206,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIBROMOPHENOL",,[],,,[],[],True,,[],[]
DB08207,"2-(3,5-DIMETHYLPHENYL)-1,3-BENZOXAZOLE",,[],,,[],[],True,,[],[]
